t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
1,청계산청계골입구 화장실,서울특별시 서초구 원지동 산5,서울특별시 서초구 원지동 산5,N,2,1,0,0,0,0,3,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.43471332,127.0621136,2019-05-01,3210000,서울특별시 서초구,0,0
2,청계산원터쉼터 화장실,서울특별시 서초구 원지동 산4-13,서울특별시 서초구 원지동 산4-13,N,3,2,0,0,0,0,4,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.43673937,127.0449492,2019-05-01,3210000,서울특별시 서초구,0,0
3,청계산 어둔골 화장실,서울특별시 서초구 원지동 산23-1,서울특별시 서초구 원지동 산23-1,N,2,2,0,0,0,0,4,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44100756,127.0513882,2019-05-01,3210000,서울특별시 서초구,0,0
4,청계산 천개사 앞 화장실,서울특별시 서초구 원지동 420-2,서울특별시 서초구 원지동 420-2,N,2,2,0,0,0,0,3,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44220972,127.0549328,2019-05-01,3210000,서울특별시 서초구,0,0
5,청계산공영주차장 화장실,서울특별시 서초구 원지동 362-1,서울특별시 서초구 원지동 362-1,N,4,5,0,0,0,0,9,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.44542714,127.0570552,2019-05-01,3210000,서울특별시 서초구,0,0
6,송동근린공원,서울특별시 서초구 우면동 777,서울특별시 서초구 우면동 777,N,1,3,0,0,0,0,4,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.45878864,127.0199471,2019-05-01,3210000,서울특별시 서초구,0,0
7,용허리근린공원,서울특별시 서초구 서초동 1324-1,서울특별시 서초구 서초동 1324-1,N,1,2,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.49425545,127.0229419,2019-05-01,3210000,서울특별시 서초구,0,0
8,몽마르뜨공원,서울특별시 서초구 반포대로37길 59,서울특별시 서초구 반포동 산94-4,N,2,2,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.49559835,127.0024969,2019-05-01,3210000,서울특별시 서초구,0,0
9,섬들근린공원,서울특별시 서초구 우면동 729,서울특별시 서초구 우면동 729,N,1,1,0,0,0,0,1,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.46310523,127.0254733,2019-05-01,3210000,서울특별시 서초구,0,0
10,생태놀이터,서울특별시 서초구 우면동 71,서울특별시 서초구 우면동 71,N,1,1,0,0,0,0,1,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.47321375,127.0290446,2019-05-01,3210000,서울특별시 서초구,0,0
11,문화예술공원2,서울특별시 서초구 바우뫼로12길 40,서울특별시 서초구 양재동 200,N,2,3,0,0,0,0,4,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.46988285,127.0320232,2019-05-01,3210000,서울특별시 서초구,0,0
12,문화예술공원1,서울특별시 서초구 바우뫼로12길 40,서울특별시 서초구 양재동 200,N,3,5,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.46988285,127.0320232,2019-05-01,3210000,서울특별시 서초구,0,0
13,양재천근린공원,서울특별시 서초구 양재동 261-22,서울특별시 서초구 양재동 261-22,N,1,1,0,0,0,0,2,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.47611842,127.0417077,2019-05-01,3210000,서울특별시 서초구,0,0
14,양재근린공원,서울특별시 서초구 양재동,서울특별시 서초구 양재동 311,N,2,2,0,0,0,0,6,0,0,공원녹지과 공원팀,02-2155-6864,상시개방,37.47200403,127.0374639,2019-05-01,3210000,서울특별시 서초구,0,0
15,방배쉼터화장실,서울특별시 서초구 남부순환로 2103,서울특별시 서초구 방배동 445-3,N,1,2,0,0,0,0,3,0,0,청소행정과,02-2155-6736,상시개방,37.47682728,126.9825398,2019-05-01,3210000,서울특별시 서초구,0,0
16,여의천 무인자동 (둑마루),서울특별시 서초구 원지동 15-19,서울특별시 서초구 원지동 15-19,Y,1,0,0,0,0,0,0,0,0,물관리과,02-2155-7313,06:00~23:00,37.46153603,127.0429068,2019-05-01,3210000,서울특별시 서초구,0,0
17,양재천 무인자동 (교총삼거리 둑마루),서울특별시 서초구 우면동 143-6,서울특별시 서초구 우면동 143-6,Y,1,0,0,0,0,0,0,0,0,물관리과,02-2155-7313,06:00~23:00,37.46826909,127.0287126,2019-05-01,3210000,서울특별시 서초구,0,0
18,양재천 (영동2교 둑마루),서울특별시 서초구 양재동 261-23,서울특별시 서초구 양재동 261-23,N,2,3,0,0,0,0,6,0,0,물관리과,02-2155-7313,상시개방,37.47662306,127.041509,2019-05-01,3210000,서울특별시 서초구,0,0
19,양재천 (연인의거리),서울특별시 서초구 양재천로 144,서울특별시 서초구 양재동 99-5,N,2,2,0,0,0,0,4,0,0,물관리과,02-2155-7313,상시개방,37.47750614,127.0412382,2019-05-01,3210000,서울특별시 서초구,0,0
20,우면체육시설,서울특별시 서초구 우면동 440-5,서울특별시 서초구 우면동 440-5,N,1,1,0,0,0,0,3,0,0,교육체육과,02-2155-6224,09시~22시,37.46110215,127.021607,2019-05-01,3210000,서울특별시 서초구,0,0
21,방배열린문화센터,서울특별시 서초구 방배로 7-173,서울특별시 서초구 방배동 852-14,N,12,12,0,0,0,0,24,0,0,교육체육과,02-2155-6224,주중06:00~22:00주말09:00~18:00,37.4889595,126.992311,2019-05-01,3210000,서울특별시 서초구,0,0
22,반포종합운동장체육센터,서울특별시 서초구 신반포로16길 30,서울특별시 서초구 반포동 15-2,N,1,1,0,0,0,0,2,0,0,교육체육과,02-2155-6224,06:00~22:00,37.50053935,126.9942641,2019-05-01,3210000,서울특별시 서초구,0,0
23,잠원스포츠파크,서울특별시 서초구 신반포로23길 66,서울특별시 서초구 잠원동 71-10,N,4,3,0,0,0,0,5,0,0,교육체육과,02-2155-6224,06:00~22:00,37.51092977,127.0052526,2019-05-01,3210000,서울특별시 서초구,0,0
24,언남문화체육센터,서울특별시 서초구 동산로13길 35,서울특별시 서초구 양재동 309,N,14,14,0,0,0,0,21,0,0,교육체육과,02-2155-6224,06:00-22:00,37.47231916,127.0433833,2019-05-01,3210000,서울특별시 서초구,0,0
25,서초구민체육센터,서울특별시 서초구 사평대로 55,서울특별시 서초구 반포동 114-3,N,12,16,0,0,0,0,15,0,0,교육체육과,02-2155-6224,평일:06:00~23:00토요일:06:00~22:00일.공휴일:11:00~18:00,37.49901829,126.9915862,2019-05-01,3210000,서울특별시 서초구,0,0
26,내곡동체육시설,서울특별시 서초구 신흥말길 23-5,서울특별시 서초구 내곡동 1-279,N,1,1,0,0,0,0,2,0,0,교육체육과,02-2155-6224,06;00-22;00,37.45848777,127.0822927,2019-05-01,3210000,서울특별시 서초구,0,0
27,양재시민의숲 테니스장,서울특별시 서초구 매헌로 99,서울특별시 서초구 양재동 236,N,2,3,0,0,0,0,2,0,0,교육체육과,02-2155-6224,상시개방,37.47304935,127.0369761,2019-05-01,3210000,서울특별시 서초구,0,0
28,방배배수지 체육공원,서울특별시 서초구,서울특별시 서초구 방배동 599,N,1,2,0,0,0,0,2,0,0,교육체육과,02-2155-6224,상시개방,37.48359243,127.0326938,2019-05-01,3210000,서울특별시 서초구,0,0
29,반포종합운동장,서울특별시 서초구 반포동 15-2,서울특별시 서초구 반포동 15-2,N,4,6,0,0,0,0,10,0,0,교육체육과,02-2155-6224,상시개방,37.50053935,126.9942641,2019-05-01,3210000,서울특별시 서초구,0,0
30,올림픽대로 시설녹지 화장실,서울특별시 서초구 반포동 115-4,서울특별시 서초구 반포동 115-4,N,1,1,0,0,0,0,1,0,0,공원녹지과 조경팀,02-2155-6883,상시개방,37.50819435,126.9956343,2019-05-01,3210000,서울특별시 서초구,0,0
31,도구머리공원 (이수중학교 밑),서울특별시 서초구 방배동 산75-4,서울특별시 서초구 방배동 산75-4,N,2,2,0,0,0,0,4,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47959604,126.9899151,2019-05-01,3210000,서울특별시 서초구,0,0
32,방배근린공원 (응봉약수터 옆),서울특별시 서초구 효령로28길 16,서울특별시 서초구 방배동 산43-6,N,1,1,0,0,0,0,2,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47986311,126.9961967,2019-05-01,3210000,서울특별시 서초구,0,0
33,우면산 (소망탑 깔딱고개),서울특별시 서초구 서초동 산150-15,서울특별시 서초구 서초동 산150-15,N,1,0,0,0,0,0,1,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47451429,127.0106539,2019-05-01,3210000,서울특별시 서초구,0,0
34,우면산 (남태령 정각사),서울특별시 서초구 방배동 산190-2,서울특별시 서초구 방배동 산190-2,N,4,4,0,0,0,0,8,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.46237218,126.9884119,2019-05-01,3210000,서울특별시 서초구,0,0
35,우면산 (범바위 정자 옆),서울특별시 서초구 남부순환로300길 40,서울특별시 서초구 방배동 산92-1,N,1,0,0,0,0,0,1,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47010341,126.9978024,2019-05-01,3210000,서울특별시 서초구,0,0
36,우면산 (신동아A 앞),서울특별시 서초구 남부순환로300길 40,서울특별시 서초구 방배동 산92-1,N,1,1,0,0,0,0,2,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47010341,126.9978024,2019-05-01,3210000,서울특별시 서초구,0,0
37,우면산 (예술바위 주변),서울특별시 서초구 우면동 산8-1,서울특별시 서초구 우면동 산8-1,N,1,0,0,0,0,0,1,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.47601591,127.0203541,2019-05-01,3210000,서울특별시 서초구,0,0
38,우면산 (대성사 옆),서울특별시 서초구 서초동 산138-2,서울특별시 서초구 서초동 산138-2,N,2,2,0,0,0,0,4,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.4758834,127.0146879,2019-05-01,3210000,서울특별시 서초구,0,0
39,우면산 (서초약수터),서울특별시 서초구 서초동 431-6,서울특별시 서초구 서초동 431-6,N,1,1,0,0,0,0,2,0,0,공원녹지과 자연생태팀,02-2155-6885,상시개방,37.48229767,127.0207538,2019-05-01,3210000,서울특별시 서초구,0,0
40,말죽거리 공원화장실(배드민턴장),서울특별시 서초구 서초동 258-2,서울특별시 서초구 서초동 258-2,N,1,1,0,0,0,0,1,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.48271993,127.0338196,2019-05-01,3210000,서울특별시 서초구,0,0
41,구룡산 입구 화장실,서울특별시 서초구 염곡동 산38,서울특별시 서초구 염곡동 산38,N,1,0,0,0,0,0,1,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.46336731,127.058701,2019-05-01,3210000,서울특별시 서초구,0,0
42,청계산 개나리골입구화장실,서울특별시 서초구 원지동 산72,서울특별시 서초구 원지동 산72,N,1,0,0,0,0,0,1,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.4510053,127.0420464,2019-05-01,3210000,서울특별시 서초구,0,0
43,청계산길마재 화장실,서울특별시 서초구 원지동 산4-30,서울특별시 서초구 원지동 산4-30,N,1,1,0,0,0,0,2,0,0,공원녹지과 산림관리팀,02-2155-6872,상시개방,37.43350829,127.0495436,2019-05-01,3210000,서울특별시 서초구,0,0
44,방배뒷벌화장실,서울특별시 서초구 방배중앙로 131,서울특별시 서초구 방배동 821-1,N,2,3,0,0,0,0,5,0,0,청소행정과,02-2155-6736,상시개방,37.49090881,126.9869284,2019-05-01,3210000,서울특별시 서초구,0,0
45,금호3가경로당,서울특별시 성동구 금호산2길16 (금호동3가),,N,2,3,0,0,0,0,6,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5487298,127.0213758,2019-06-03,3030000,서울특별시 성동구,0,0
46,행당어린이공원,서울특별시 성동구 행당동 128-417,서울특별시 성동구 행당동 128-417,N,3,2,0,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.56176,127.035263,2019-06-03,3030000,서울특별시 성동구,0,0
47,한양대 앞,서울특별시 성동구 행당동 157-4,서울특별시 성동구 행당동 157-4,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.566104,127.045757,2019-06-03,3030000,서울특별시 성동구,0,0
48,소월 문화광장,서울특별시 성동구 왕십리로 281,,N,1,2,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.559276,127.0359937,2019-06-03,3030000,서울특별시 성동구,0,0
49,왕십리문화공원,서울특별시 성동구 도선동 35-2,서울특별시 성동구 도선동 35-2,N,2,2,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.553588,127.041916,2019-06-03,3030000,서울특별시 성동구,0,0
50,방범초소 뒤,서울특별시 성동구 독서당로63길 43-23,,Y,1,0,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5532166,127.0296265,2019-06-03,3030000,서울특별시 성동구,0,0
51,독서당공원,서울특별시 성동구 금호동1가 산37-7,서울특별시 성동구 금호동1가 산37-7,N,1,3,1,0,0,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.556445,127.019518,2019-06-03,3030000,서울특별시 성동구,0,0
52,대림공원,서울특별시 성동구 난계로 58,,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.557819,127.024668,2019-06-03,3030000,서울특별시 성동구,0,0
53,대현산공원,서울특별시 성동구 독서당로57가길 24,,Y,1,1,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.55250583,127.0285684,2019-06-03,3030000,서울특별시 성동구,0,0
54,대현산관리사무소,서울특별시 성동구 독서당로57가길 24,,N,1,2,1,0,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.55250583,127.0285684,2019-06-03,3030000,서울특별시 성동구,0,0
55,용답꽃공원,서울특별시 성동구 천호대로78길 9,,N,1,3,1,0,1,0,3,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5630545,127.056119,2019-06-03,3030000,서울특별시 성동구,0,0
56,자동차매매,서울특별시 성동구 용답동 234-1,서울특별시 성동구 용답동 234-1,N,3,3,1,0,1,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.56032313,127.0645175,2019-06-03,3030000,서울특별시 성동구,0,0
57,뚝섬유수지,서울특별시 성동구 서울숲길 25,,N,2,3,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5484093,127.0406299,2019-06-03,3030000,서울특별시 성동구,0,0
58,성수근린공원,서울특별시 성동구 성수동2가 302-25,서울특별시 성동구 성수동2가 302-25,N,1,2,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.566074,127.047049,2019-06-03,3030000,서울특별시 성동구,0,0
59,성삼공원,서울특별시 성동구 성수동2가 273-11,서울특별시 성동구 성수동2가 273-11,N,2,1,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.561611,127.026948,2019-06-03,3030000,서울특별시 성동구,0,0
60,중랑물재생센터,서울특별시 성동구 송정동 73-37,서울특별시 성동구 송정동 73-37,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.567892,127.039399,2019-06-03,3030000,서울특별시 성동구,0,0
61,무학봉,서울특별시 성동구 하왕십리동 890-334,서울특별시 성동구 하왕십리동 890-334,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.544849,127.020611,2019-06-03,3030000,서울특별시 성동구,0,0
62,응봉체육공원,서울특별시 성동구 응봉동 9-4,서울특별시 성동구 응봉동 9-4,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.557597,127.037251,2019-06-03,3030000,서울특별시 성동구,0,0
63,응봉교 아래,서울특별시 성동구 응봉동 244-2,서울특별시 성동구 응봉동 244-2,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.55127,127.037219,2019-06-03,3030000,서울특별시 성동구,0,0
64,금호산,서울특별시 성동구 금호산15길 15-22,,N,1,2,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.55309899,127.0178672,2019-06-03,3030000,서울특별시 성동구,0,0
65,금호정,서울특별시 성동구 금호산15길 15-22,,Y,1,1,0,0,0,0,0,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.55309899,127.0178672,2019-06-03,3030000,서울특별시 성동구,0,0
66,매봉산지하수 옆,서울특별시 성동구 옥수동 산5-164,서울특별시 성동구 옥수동 산5-164,N,2,2,1,1,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.544808,127.052405,2019-06-03,3030000,서울특별시 성동구,0,0
67,마장축산물한전 뒤,서울특별시 성동구 마장로37길17 (마장동),,N,2,2,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5677891,127.0394271,2019-06-03,3030000,서울특별시 성동구,0,0
68,마장축산물남문,서울특별시 성동구 마장로39길7 (마장동),,N,2,2,0,0,0,0,4,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5671801,127.041108,2019-06-03,3030000,서울특별시 성동구,0,0
69,마장축산물시장,서울특별시 성동구 살곶이길40 (마장동),,N,2,3,0,0,0,0,5,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5712206,127.0412509,2019-06-03,3030000,서울특별시 성동구,0,0
70,응봉자전거대여소,서울특별시 성동구 응봉동 3-11,서울특별시 성동구 응봉동 3-11,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.548505,127.030867,2019-06-03,3030000,서울특별시 성동구,0,0
71,암벽공원,서울특별시 성동구 독서당로60길13-1 (응봉동),,N,2,2,1,1,0,0,6,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5486209,127.0310033,2019-06-03,3030000,서울특별시 성동구,0,0
72,응봉산 아래,서울특별시 성동구 독서당로62가길66 (응봉동),,N,2,2,1,1,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5484057,127.031684,2019-06-03,3030000,서울특별시 성동구,0,0
73,응봉산 팔각정,서울특별시 성동구 금호4가 1539,서울특별시 성동구 금호4가 1539,N,2,3,1,0,0,0,5,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.548457,127.03193,2019-06-03,3030000,서울특별시 성동구,0,0
74,마장어린이공원,서울특별시 성동구 마장로42길13 (마장동),,N,2,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5660735,127.0457586,2019-06-03,3030000,서울특별시 성동구,0,0
75,기사식당,서울특별시 성동구 마장로42길 25,,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5656687,127.0466252,2019-06-03,3030000,서울특별시 성동구,0,0
76,자전거체험장,서울특별시 성동구 마장동 811,서울특별시 성동구 마장동 811,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.553973,127.046326,2019-06-03,3030000,서울특별시 성동구,0,0
77,용답휴식공원,서울특별시 성동구 천호대로 232 (용답동),,N,2,3,1,0,0,0,5,1,1,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.569744,127.0469446,2019-06-03,3030000,서울특별시 성동구,0,0
78,상원 앞,서울특별시 성동구 성수동1가 2-20,서울특별시 성동구 성수동1가 2-20,N,0,2,1,0,0,0,2,1,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.549916,127.028741,2019-06-03,3030000,서울특별시 성동구,0,0
79,송정제방,서울특별시 성동구 송정동 75-20,서울특별시 성동구 송정동 75-20,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.569826,127.044108,2019-06-03,3030000,서울특별시 성동구,0,0
80,송정농구장,서울특별시 성동구 송정동 73-24,서울특별시 성동구 송정동 73-24,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.567202,127.041067,2019-06-03,3030000,서울특별시 성동구,0,0
81,새말빗물펌프장,서울특별시 성동구 송정동 93-22,서울특별시 성동구 송정동 93-22,N,1,1,1,1,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.553132,127.028349,2019-06-03,3030000,서울특별시 성동구,0,0
82,궁터장,서울특별시 성동구 행당동 81-4,서울특별시 성동구 행당동 81-4,N,1,2,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5461,127.010581,2019-06-03,3030000,서울특별시 성동구,0,0
83,살곶이인라인,서울특별시 성동구 사근동 104,서울특별시 성동구 사근동 104,N,1,1,0,0,0,0,1,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.553132,127.028349,2019-06-03,3030000,서울특별시 성동구,0,0
84,살곶이 진출,서울특별시 성동구 사근동 102-28,서울특별시 성동구 사근동 102-28,N,1,1,0,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.553132,127.028349,2019-06-03,3030000,서울특별시 성동구,0,0
85,살곶이 진입,서울특별시 성동구 사근동 102-28,서울특별시 성동구 사근동 102-28,N,1,1,1,0,0,0,2,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.54954,127.034969,2019-06-03,3030000,서울특별시 성동구,0,0
86,달맞이봉,서울특별시 성동구 독서당로44길25 (금호동4가),,N,1,2,0,0,0,0,3,0,0,서울특별시성동구도시관리공단,02-2204-7992,연중무휴,37.5454363,127.0203834,2019-06-03,3030000,서울특별시 성동구,0,0
87,영등포여고앞,서울특별시 영등포구 영등포로62라길 2 (신길동),서울특별시 영등포구 신길동 39-3,N,2,2,0,0,0,0,1,1,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.516168,126.915405,2019-05-02,3180000,서울특별시 영등포구,0,0
88,광야교회,서울특별시 영등포구 영신로17길 13(영등포동),서울특별시 영등포구 영등포동 618-50,N,3,4,1,0,0,0,3,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.5133989,126.906915,2019-05-02,3180000,서울특별시 영등포구,0,0
89,철제상가,서울특별시 영등포구 경인로93길 1-28(문래동3가),서울특별시 영등포구 문래동3가 4-38,N,3,2,1,0,0,0,2,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.514939,126.901897,2019-05-02,3180000,서울특별시 영등포구,0,0
90,철공소공단,서울특별시 영등포구 도림로125길 10,서울특별시 영등포구 문래동2가 14-85,N,1,1,0,0,0,0,1,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.51315764,126.8953285,2019-05-02,3180000,서울특별시 영등포구,0,0
91,양평동2가-3,서울특별시 영등포구 영등포로5길 26-4 (양평동2가),서울특별시 영등포구 양평동2가 31-17,Y,1,1,0,0,0,0,1,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.524286,126.884717,2019-05-02,3180000,서울특별시 영등포구,0,0
92,양평동2가-1,서울특별시 영등포구 선유서로25길 9-2,서울특별시 영등포구 양평동2가 31-13,N,1,1,0,0,0,0,1,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.524375,126.884832,2019-05-02,3180000,서울특별시 영등포구,0,0
93,양평동1가,서울특별시 영등포구 선유서로24길 3-15,서울특별시 영등포구 양평동1가250-44,N,2,1,0,0,0,0,2,0,0,서울특별시 영등포구청,02-2670-3504,연중무휴,37.5240088,126.886457,2019-05-02,3180000,서울특별시 영등포구,0,0
94,이촌로 공중화장실,서울특별시 용산구 이촌로 121-1,서울특별시 용산구 한강로3가 40-900,N,3,3,1,0,0,0,2,1,0,서울특별시 용산구청,02-2199-7325,연중무휴,37.52306544,126.9612119,2020-02-21,3020000,서울특별시 용산구,0,0
95,철길담장 옆 공중화장실,서울특별시 용산구 한강로2가 2-341,,N,1,1,0,0,0,0,1,0,0,서울특별시 용산구청,02-2199-7325,연중무휴,37.531676,126.968679,2020-02-21,3020000,서울특별시 용산구,0,0
96,신계동 공중화장실,서울특별시 용산구 한강로3가 2-1,,N,2,1,0,0,0,0,2,0,0,서울특별시 용산구청,02-2199-7325,연중무휴,37.533821,126.963396,2020-02-21,3020000,서울특별시 용산구,0,0
97,이태원 1 공중화장실,서울특별시 용산구 녹사평대로40길 56,서울특별시 용산구 이태원동 34-114,N,2,2,1,1,0,0,4,1,1,서울특별시 용산구청,02-2199-7325,연중무휴,37.53431939,126.988845,2020-02-21,3020000,서울특별시 용산구,0,0
98,2-10 예촌어린이공원 공중화장실,서울특별시 관악구 남현길 41,,N,1,2,1,0,0,0,3,0,0,서울특별시 관악구청,02-879-6274,24시간,37.47470711,126.9767747,2020-05-31,3200000,서울특별시 관악구,0,0
99,1-2 신대방역 공중화장실,서울특별시 관악구 난곡로 374,,N,2,3,1,0,0,0,5,1,0,서울특별시 관악구청,02-879-6274,24시간,37.48737107,126.9133022,2020-05-31,3200000,서울특별시 관악구,0,0
100,1-6 공중화장실,서울특별시 관악구 원신2길 70-1,,N,2,2,0,0,0,0,2,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46962235,126.9316673,2020-05-31,3200000,서울특별시 관악구,0,0
101,1-4 공중화장실,서울특별시 관악구 원신1길 34,,N,2,1,1,0,0,0,2,1,0,서울특별시 관악구청,02-879-6274,24시간,37.47034019,126.9327699,2020-05-31,3200000,서울특별시 관악구,0,0
102,1-7 공중화장실,서울특별시 관악구 원신2길 43,,N,1,0,0,0,0,0,1,0,0,서울특별시 관악구청,02-879-6274,24시간,37.47033273,126.932394,2020-05-31,3200000,서울특별시 관악구,0,0
103,1-12 공중화장실,서울특별시 관악구 양지길 95-4,,N,2,2,0,0,0,0,2,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46960765,126.9311654,2020-05-31,3200000,서울특별시 관악구,0,0
104,1-8 공중화장실,서울특별시 관악구 원신길 92-7,,N,2,1,0,0,0,0,2,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46856589,126.9308406,2020-05-31,3200000,서울특별시 관악구,0,0
105,1-11 공중화장실,서울특별시 관악구 원신길 108-2,,N,2,1,0,0,0,0,2,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46798204,126.9308503,2020-05-31,3200000,서울특별시 관악구,0,0
106,1-5 공중화장실,서울특별시 관악구 원신1길 59-2,,N,1,0,0,0,0,0,1,0,0,서울특별시 관악구청,02-879-6274,24시간,37.4694713,126.9322191,2020-05-31,3200000,서울특별시 관악구,0,0
107,1-9 공중화장실,서울특별시 관악구 원신4길 9-2,,N,1,0,0,0,0,0,1,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46900256,126.9318397,2020-05-31,3200000,서울특별시 관악구,0,0
108,1-10 공중화장실,서울특별시 관악구 원신4길 9-2,,N,2,2,1,0,0,0,3,1,0,서울특별시 관악구청,02-879-6274,24시간,37.46900256,126.9318397,2020-05-31,3200000,서울특별시 관악구,0,0
109,1-13 공중화장실,서울특별시 관악구 원신길 105,,Y,1,0,0,0,0,0,0,0,0,서울특별시 관악구청,02-879-6274,24시간,37.46797508,126.9312754,2020-05-31,3200000,서울특별시 관악구,0,0
