t_no,t_name,t_nm_name,t_m_name,t_mwm,t_ml_number,t_ms_number,t_hml_number,t_hms_number ,t_cml_number,t_cms_number,t_wml_number,t_hwml_number,t_hwms_number,t_manage,t_tel,t_close,t_la,t_lo,t_data,t_mcode,t_service,t_com_score,t_user_count
372,예일여자중학교,서울특별시 은평구 연서로 117,서울특별시 은평구 구산동 8-3,N,4,3,0,0,0,0,61,1,0,예일여자중학교,02-380-0905,(평일)09:00~18:00,37.60964211,126.9160959,2020-01-01,3110000,서울특별시 은평구,0,0
373,예일초등학교,서울특별시 은평구 연서로 117,서울특별시 은평구 구산동 8-3,N,19,28,1,0,0,0,20,1,0,예일초등학교,02-380-0780,(평일)09:00~18:00,37.60964211,126.9160959,2020-01-01,3110000,서울특별시 은평구,0,0
374,은명초등학교,서울특별시 은평구 은평로4길 21-9,서울특별시 은평구 응암1동 114-12,N,25,68,4,0,6,0,91,1,0,은명초등학교,02-359-9517,(평일)09:00~18:00,37.597634,126.9182744,2020-01-01,3110000,서울특별시 은평구,0,0
375,은진초등학교,서울특별시 은평구 진관1로 21-20,서울특별시 은평구 진관동 165-32,N,19,47,9,0,0,0,94,9,0,씨앤에스자산관리,02-351-3561,연중무휴,37.63304233,126.9209954,2020-01-01,3110000,서울특별시 은평구,0,0
376,은평경찰서,서울특별시 은평구 연서로 365,서울특별시 은평구 불광동 산24,N,33,34,4,0,0,0,17,1,0,은평경찰서,02-356-0112,연중무휴,37.62781459,126.9291574,2020-01-01,3110000,서울특별시 은평구,0,0
377,은평고등학교,서울특별시 은평구 갈현로15길 51,서울특별시 은평구 구산동 산41-1,N,25,41,0,0,0,0,63,0,0,은평고등학교,02-383-0873,(평일)09:00~18:00,37.60915142,126.9058084,2020-01-01,3110000,서울특별시 은평구,0,0
378,은평구 보건소 청사,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,N,10,20,0,0,0,0,15,1,0,서울특별시 은평구청,02-351-8154,(평일)09:00~18:00,37.602456,126.9288236,2020-01-01,3110000,서울특별시 은평구,0,0
379,은평구 의회,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,N,14,21,0,0,0,0,21,0,0,서울특별시 은평구청,02-351-6155,(평일)09:00~18:00,37.602456,126.9288236,2020-01-01,3110000,서울특별시 은평구,0,0
380,은평구립도서관,서울특별시 은평구 통일로78가길 13-84,서울특별시 은평구 불광동 산59-32,N,8,19,4,0,0,0,17,0,0,서울특별시 은평구청,02-385-1671,(평일)09:00~18:00,37.61897717,126.9282732,2020-01-01,3110000,서울특별시 은평구,0,0
381,은평구립축구장,서울특별시 은평구 진관1로 46,서울특별시 은평구 진관동 362-2,N,8,16,1,0,0,0,8,1,0,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.630605,126.9248452,2020-01-01,3110000,서울특별시 은평구,0,0
382,은평구립테니스장,서울특별시 은평구 진관1로 40,서울특별시 은평구 진관동 362,N,1,1,0,0,0,0,1,0,0,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.63044199,126.9235811,2020-01-01,3110000,서울특별시 은평구,0,0
383,은평구민체육센터,서울특별시 은평구 진관1로 40,서울특별시 은평구 진관동 362,N,17,23,2,0,3,0,24,2,3,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.63044199,126.9235811,2020-01-01,3110000,서울특별시 은평구,0,0
384,은평구상징녹지대,서울특별시 은평구 북한산로 71,서울특별시 은평구 진관동 44,N,2,2,1,0,0,0,4,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.64535027,126.9217348,2020-01-01,3110000,서울특별시 은평구,0,0
385,은평구시설관리공단 청사,서울특별시 은평구 서오릉로 185-1,서울특별시 은평구 구산동 199-19,N,2,2,0,0,0,0,3,0,0,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.61302376,126.9126942,2020-01-01,3110000,서울특별시 은평구,0,0
386,은평구청 본관,서울특별시 은평구 은평로 195,서울특별시 은평구 녹번동 84,N,29,31,7,0,0,0,45,7,0,서울특별시 은평구청,02-351-6155,(평일)09:00~18:00,37.602456,126.9288236,2020-01-01,3110000,서울특별시 은평구,0,0
387,은평문화예술회관,서울특별시 은평구 녹번로 16,서울특별시 은평구 녹번동 85-4,N,13,23,0,0,0,0,19,0,2,서울특별시 은평구시설관리공단,02-350-5114,(평일)09:00~18:00,37.60369978,126.9279028,2020-01-01,3110000,서울특별시 은평구,0,0
388,은평소방서,서울특별시 은평구 통일로 962,서울특별시 은평구 진관동 240-9,N,10,11,1,0,0,0,7,1,0,은평소방서,02-355-0119,연중무휴,37.62890065,126.9198851,2020-01-01,3110000,서울특별시 은평구,0,0
389,은평우체국,서울특별시 은평구 은평로9길 13,서울특별시 은평구 응암동 89-1,N,4,6,2,0,0,0,4,2,0,은평우체국,02-350-3514,(평일)09:00~18:00,37.601327,126.921204,2020-01-01,3110000,서울특별시 은평구,0,0
390,은평종합복지관,서울특별시 은평구 은평터널로 48,서울특별시 은평구 수색동 8-15,N,12,12,0,0,0,0,12,0,0,서울특별시 은평구청,02-351-7006,(평일)09:00~18:00,37.585023,126.8993264,2020-01-01,3110000,서울특별시 은평구,0,0
391,은평중학교,서울특별시 은평구 갈현로17나길 12-1,서울특별시 은평구 구산동 산27,N,20,26,1,0,0,0,35,0,0,은평중학교,02-382-3545,(평일)09:00~18:00,37.61063464,126.908348,2020-01-01,3110000,서울특별시 은평구,0,0
392,은혜초등학교,서울특별시 은평구 통일로78가길 20,서울특별시 은평구 불광동 331-27,N,12,20,2,0,0,0,22,2,0,은혜초등학교,02-355-3912,(평일)09:00~18:00,37.617781,126.927321,2020-01-01,3110000,서울특별시 은평구,0,0
393,숭실중학교,서울특별시 은평구 은평터널로7길 6,서울특별시 은평구 신사동300-89,N,53,56,0,0,0,0,44,0,0,숭실중학교,02-373-7641,(평일)09:00~18:00,37.59287316,126.9024048,2020-01-01,3110000,서울특별시 은평구,0,0
394,시루뫼어린이공원,서울특별시 은평구 증산로5길 13,서울특별시 은평구 증산동 185-1,N,1,3,1,0,0,0,3,1,0,서울특별시 은평구청,02-351-7565,연중무휴,37.5830341,126.9065749,2020-01-01,3110000,서울특별시 은평구,0,0
395,시립서북병원,서울특별시 은평구 갈현로7길 49,서울특별시 은평구 역촌동 산31,N,21,37,0,0,0,0,32,14,0,서울특별시청,02-3156-3000,(평일)09:00~18:00,37.60435804,126.9056649,2020-01-01,3110000,서울특별시 은평구,0,0
396,시립은평병원,서울특별시 은평구 백련산로4길 25-2,서울특별시 은평구 응암동 산6,N,13,13,0,0,0,0,13,0,0,서울특별시청,02-300-8114,(평일)09:00~18:00,37.59513912,126.9258955,2020-01-01,3110000,서울특별시 은평구,0,0
